name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords,tags,Unnamed: 15,Unnamed: 16
Oishinbo,"The newspaper office, Tozai Shinbun, plans to publish the Ultimate Menu to commemorate their 100th anniversary. It would not only describe foods but also pass on dietary cultures for many generations to come. Despite its importance, Shirou Yamaoka, a lazy employee, and Yuuko Kurita, a company newcomer, are selected as the editors.",34800,https://image.tmdb.org/t/p/w500/ovD54crDX2jSTU742GrILS8ux08.jpg,10.0,1,False,[],[],[],[],1988,Animation Drama,"['newspaper', 'office', 'Tozai', 'Shinbun', 'plans', 'publish', 'Ultimate', 'Menu', 'commemorate', 'anniversary', 'describe', 'foods', 'pass', 'dietary', 'cultures', 'generations', 'come', 'Despite', 'importance', 'Shirou', 'Yamaoka', 'lazy', 'employee', 'Yuuko', 'Kurita', 'company', 'newcomer', 'selected', 'editors']",Animation Drama  newspaper office Tozai Shinbun plans publish Ultimate Menu commemorate anniversary describe foods pass dietary cultures generations come Despite importance Shirou Yamaoka lazy employee Yuuko Kurita company newcomer selected editors 10.0    ,,
The Demon Hunter,"Meng Chuan witnessed his mother killed before his eyes, so he trained very hard hoping to one day avenge her death. But his peaceful days were broken as his wedding engagement being called off, an invasion by foreign forces, the sanctuary fallen into enemy hands… In order to protect the people of Ning City, he picked up his sword and vowed to be the strongest. This is a heavy responsibility and a long journey…",229192,https://image.tmdb.org/t/p/w500/vDw9zWYa77x6Dxyu9Rb6nyQ2sxW.jpg,10.0,6,False,[],[],['Wo Chi Xihongshi'],[],2023,Animation Action & Adventure Sci-Fi & Fantasy,"['Meng', 'Chuan', 'witnessed', 'mother', 'killed', 'eyes', 'trained', 'hard', 'hoping', 'day', 'avenge', 'death', 'peaceful', 'days', 'broken', 'wedding', 'engagement', 'called', 'invasion', 'foreign', 'forces', 'sanctuary', 'fallen', 'enemy', 'hands', 'order', 'protect', 'people', 'Ning', 'City', 'picked', 'sword', 'vowed', 'strongest', 'heavy', 'responsibility', 'long', 'journey']",Animation Action & Adventure Sci-Fi & Fantasy  Meng Chuan witnessed mother killed eyes trained hard hoping day avenge death peaceful days broken wedding engagement called invasion foreign forces sanctuary fallen enemy hands order protect people Ning City picked sword vowed strongest heavy responsibility long journey 10.0  Wo Chi Xihongshi  ,,
Slow Step,"The story revolves around a romantic triangle formed by the girl Minatsu Nakazato, a young student and softball player; Shu Akiba, a schoolmate; and Naoto Kadomatsu, an up-and-coming boxer. In reality the three-way relationship is more like three-and-a-half, considering that Naoto is in love with Maria... actually Minatsu herself, who`d once disguised herself to escape some evildoers.",105700,https://image.tmdb.org/t/p/w500/l6h6XBBhdVD4lXOwkFPMYrwOoTs.jpg,10.0,1,False,[],[],['Mitsuru Adachi'],[],1991,Animation Comedy Drama,"['story', 'revolves', 'romantic', 'triangle', 'formed', 'girl', 'Minatsu', 'Nakazato', 'young', 'student', 'softball', 'player', 'Shu', 'Akiba', 'schoolmate', 'Naoto', 'Kadomatsu', 'coming', 'boxer', 'reality', 'way', 'relationship', 'like', 'half', 'considering', 'Naoto', 'love', 'Maria', 'actually', 'Minatsu', 'disguised', 'escape', 'evildoers']",Animation Comedy Drama  story revolves romantic triangle formed girl Minatsu Nakazato young student softball player Shu Akiba schoolmate Naoto Kadomatsu coming boxer reality way relationship like half considering Naoto love Maria actually Minatsu disguised escape evildoers 10.0  Mitsuru Adachi  ,,
Megaton Musashi,"In an ordinary town, there are people who live a peaceful and fulfilling life. But they don't know that it is a false peace. The untold truth... The earth has already been destroyed... 99.9% of the human race has been wiped out by a mysterious alien force from outer space. The enemy is named ""Dracters."" Eventually, a large hole was drilled in the earth and terraformed into a suitable environment for the aliens to live. Humans have no choice but to hide in shelters to escape their eyes. Waiting for the day of resurrection, which they do not know when it will come... The inhabitants of the shelter Ixia have had their memories of the day of destruction erased, and live a normal life without knowing anything about it. However, some of them, the ""chosen ones,"" have become pilots, driving giant robots called ""Rogue"" and fighting against aliens. Today, another new pilot is selected...",129553,https://image.tmdb.org/t/p/w500/8cz1PoLOi72iarRQhTdLRCyyGxm.jpg,10.0,1,False,[],[],[],[],2021,Animation Action & Adventure Sci-Fi & Fantasy,"['ordinary', 'town', 'people', 'live', 'peaceful', 'fulfilling', 'life', 'know', 'false', 'peace', 'untold', 'truth', 'earth', 'destroyed', 'human', 'race', 'wiped', 'mysterious', 'alien', 'force', 'outer', 'space', 'enemy', 'named', 'Dracters', 'Eventually', 'large', 'hole', 'drilled', 'earth', 'terraformed', 'suitable', 'environment', 'aliens', 'live', 'Humans', 'choice', 'hide', 'shelters', 'escape', 'eyes', 'Waiting', 'day', 'resurrection', 'know', 'come', 'inhabitants', 'shelter', 'Ixia', 'memories', 'day', 'destruction', 'erased', 'live', 'normal', 'life', 'knowing', 'chosen', 'ones', 'pilots', 'driving', 'giant', 'robots', 'called', 'Rogue', 'fighting', 'aliens', 'Today', 'new', 'pilot', 'selected']",Animation Action & Adventure Sci-Fi & Fantasy  ordinary town people live peaceful fulfilling life know false peace untold truth earth destroyed human race wiped mysterious alien force outer space enemy named Dracters Eventually large hole drilled earth terraformed suitable environment aliens live Humans choice hide shelters escape eyes Waiting day resurrection know come inhabitants shelter Ixia memories day destruction erased live normal life knowing chosen ones pilots driving giant robots called Rogue fighting aliens Today new pilot selected 10.0    ,,
Ultra B,"One night, Michio chases a UFO to see where it lands. He is taken inside it and encounters a mysterious baby, Ultra B. Soon reveals that he has superpowers when he moves in with Michio's family.",207937,https://image.tmdb.org/t/p/w500/d99Tmt3YuJHWv95akuNQfkBhPKG.jpg,10.0,1,False,[],[],[],[],1987,Kids Sci-Fi & Fantasy Animation,"['night', 'Michio', 'chases', 'UFO', 'lands', 'taken', 'inside', 'encounters', 'mysterious', 'baby', 'Ultra', 'Soon', 'reveals', 'superpowers', 'moves', 'Michio', 'family']",Kids Sci-Fi & Fantasy Animation  night Michio chases UFO lands taken inside encounters mysterious baby Ultra Soon reveals superpowers moves Michio family 10.0    ,,
PriPara,"Laala Manaka is a 5th-grader at Paprika Academy. Like most girls, she admires the world of PriPara, a sport that tests idol girls on song, dance, and fashion. Unfortunately for her, her school does not allow elementary school students to participate in PriPara. However, through miraculous circumstances, Laala passes the audition to become a PriPara idol.",67627,https://image.tmdb.org/t/p/w500/kLIVCmuCw1nMpULikGOmQml1lPQ.jpg,10.0,3,False,[],[],[],[],2014,Animation Comedy,"['Laala', 'Manaka', 'grader', 'Paprika', 'Academy', 'Like', 'girls', 'admires', 'world', 'PriPara', 'sport', 'tests', 'idol', 'girls', 'song', 'dance', 'fashion', 'Unfortunately', 'school', 'allow', 'elementary', 'school', 'students', 'participate', 'PriPara', 'miraculous', 'circumstances', 'Laala', 'passes', 'audition', 'PriPara', 'idol']",Animation Comedy  Laala Manaka grader Paprika Academy Like girls admires world PriPara sport tests idol girls song dance fashion Unfortunately school allow elementary school students participate PriPara miraculous circumstances Laala passes audition PriPara idol 10.0    ,,
Wan Jie Shen Zhu,"Time traveling from 21st to the Nanzhou era, as a ancient immortal, Ye Chen resorted to the ancient force to defeat the troop of State of Di who was trying to kidnap the Fairy Lady of Snow Shadow. He confessed his identify to the Fairy Lady, while there was still a big secret hidden behind his flippant smile and bold behaviour. What would this be? and was it a fate that the two people should meet? (Description source: MangaToon, official English translation of source manhua)",89338,https://image.tmdb.org/t/p/w500/7W301eMtzKpzisIV8aaLC9BqSDk.jpg,10.0,1,False,[],[],[],[],2019,Animation,"['Time', 'traveling', 'Nanzhou', 'era', 'ancient', 'immortal', 'Ye', 'Chen', 'resorted', 'ancient', 'force', 'defeat', 'troop', 'State', 'Di', 'trying', 'kidnap', 'Fairy', 'Lady', 'Snow', 'Shadow', 'confessed', 'identify', 'Fairy', 'Lady', 'big', 'secret', 'hidden', 'flippant', 'smile', 'bold', 'behaviour', 'fate', 'people', 'meet', 'Description', 'source', 'MangaToon', 'official', 'English', 'translation', 'source', 'manhua']",Animation  Time traveling Nanzhou era ancient immortal Ye Chen resorted ancient force defeat troop State Di trying kidnap Fairy Lady Snow Shadow confessed identify Fairy Lady big secret hidden flippant smile bold behaviour fate people meet Description source MangaToon official English translation source manhua 10.0    ,,
Builder Brothers' Dream Factory,"10-year-old twins, Drew and Jonathan. A pair of regular kids whose extraordinary imagination, creativity, grit and heart help solve problems in their neighborhood by dreaming big and sometimes too big.",224373,https://image.tmdb.org/t/p/w500/zqUitSjJ0wZeEvI82DvvM21qb1Q.jpg,10.0,1,False,[],[],[],[],2023,Animation Kids,"['year', 'old', 'twins', 'Drew', 'Jonathan', 'pair', 'regular', 'kids', 'extraordinary', 'imagination', 'creativity', 'grit', 'heart', 'help', 'solve', 'problems', 'neighborhood', 'dreaming', 'big', 'big']",Animation Kids  year old twins Drew Jonathan pair regular kids extraordinary imagination creativity grit heart help solve problems neighborhood dreaming big big 10.0    ,,
Great Journey of Teenagers,"Wangyou, Master of Hanshui Temple died mysteriously and when the news about a golden coffin spreads throughout the world, it triggered disputes between the World of Martial arts. Join a group of youths, Lei Wujie, Xiao Se, Tang Lian, Sikong Qianluo, Heavenly Maiden Rui in their adventure as the mystery of the golden coffin unravels.",85219,https://image.tmdb.org/t/p/w500/2cvru8EriUsCrEV6R8DnP5HILS.jpg,9.5,6,False,[],[],['Munan Zhou'],[],2018,Animation Action & Adventure Sci-Fi & Fantasy,"['Wangyou', 'Master', 'Hanshui', 'Temple', 'died', 'mysteriously', 'news', 'golden', 'coffin', 'spreads', 'world', 'triggered', 'disputes', 'World', 'Martial', 'arts', 'Join', 'group', 'youths', 'Lei', 'Wujie', 'Xiao', 'Se', 'Tang', 'Lian', 'Sikong', 'Qianluo', 'Heavenly', 'Maiden', 'Rui', 'adventure', 'mystery', 'golden', 'coffin', 'unravels']",Animation Action & Adventure Sci-Fi & Fantasy  Wangyou Master Hanshui Temple died mysteriously news golden coffin spreads world triggered disputes World Martial arts Join group youths Lei Wujie Xiao Se Tang Lian Sikong Qianluo Heavenly Maiden Rui adventure mystery golden coffin unravels 9.5  Munan Zhou  ,,
Pokémon Horizons: The Series,"Follow Liko and Roy as they unravel the mysteries that surround them and encounter Friede, Captain Pikachu, Amethio, and others during their exciting adventures!",220150,https://image.tmdb.org/t/p/w500/mrnSYkqY2sPkf5XOQTMHcdCTLyI.jpg,9.471,17,False,[],[],[],[],2023,Animation Action & Adventure Kids,"['Follow', 'Liko', 'Roy', 'unravel', 'mysteries', 'surround', 'encounter', 'Friede', 'Captain', 'Pikachu', 'Amethio', 'exciting', 'adventures']",Animation Action & Adventure Kids  Follow Liko Roy unravel mysteries surround encounter Friede Captain Pikachu Amethio exciting adventures 9.471    ,,
Time Bokan 24,"The history in our textbooks are all wrong?! In the 24th century, humankind accomplished the invention of a time machine, “Time Bokan”. As they discover the truth about history, they realize that the history written in their textbooks are all wrong! To correct their knowledge of history, the government developed an organization called JKK. Our hero Tokio is recruited by Karen, a girl from the future to join the JKK. Together they travel through time to discover the true history, along with fighting the “Akudarma” a villainous group whose goal is to prevent the discovery of the truth!",70208,https://image.tmdb.org/t/p/w500/cZogex8fOTrVNE7bTvulCdo7xRr.jpg,9.333,3,False,[],[],[],[],2016,Animation,"['history', 'textbooks', 'wrong', 'century', 'humankind', 'accomplished', 'invention', 'time', 'machine', 'Time', 'Bokan', 'discover', 'truth', 'history', 'realize', 'history', 'written', 'textbooks', 'wrong', 'correct', 'knowledge', 'history', 'government', 'developed', 'organization', 'called', 'JKK', 'hero', 'Tokio', 'recruited', 'Karen', 'girl', 'future', 'join', 'JKK', 'travel', 'time', 'discover', 'true', 'history', 'fighting', 'Akudarma', 'villainous', 'group', 'goal', 'prevent', 'discovery', 'truth']",Animation  history textbooks wrong century humankind accomplished invention time machine Time Bokan discover truth history realize history written textbooks wrong correct knowledge history government developed organization called JKK hero Tokio recruited Karen girl future join JKK travel time discover true history fighting Akudarma villainous group goal prevent discovery truth 9.333    ,,
Tiny Toons Looniversity,"Follow Babs and Buster Bunny, Sweetie Bird, Hamton J. Pig, and Plucky Duck as they learn what it takes to be a professional toon.",155779,https://image.tmdb.org/t/p/w500/7nT98lFbCqYLgI8lPy2q0XhBHpC.jpg,9.25,8,False,[],[],[],[],2023,Animation Comedy,"['Follow', 'Babs', 'Buster', 'Bunny', 'Sweetie', 'Bird', 'Hamton', 'Pig', 'Plucky', 'Duck', 'learn', 'takes', 'professional', 'toon']",Animation Comedy  Follow Babs Buster Bunny Sweetie Bird Hamton Pig Plucky Duck learn takes professional toon 9.25    ,,
Adventure Time: Fionna & Cake,"Fionna and Cake – with the help of the former Ice King, Simon Petrikov - embark on a multiverse-hopping adventure and journey of self-discovery. All the while a powerful new antagonist determined to track them down and erase them from existence, lurks in the shadows.",131378,https://image.tmdb.org/t/p/w500/fi1b6U1kp73xheECzqwzMn8u3mX.jpg,9.221,131,False,[],[],['Adam Muto'],[],2023,Animation Sci-Fi & Fantasy Action & Adventure Comedy,"['Fionna', 'Cake', 'help', 'Ice', 'King', 'Simon', 'Petrikov', 'embark', 'multiverse', 'hopping', 'adventure', 'journey', 'self', 'discovery', 'powerful', 'new', 'antagonist', 'determined', 'track', 'erase', 'existence', 'lurks', 'shadows']",Animation Sci-Fi & Fantasy Action & Adventure Comedy  Fionna Cake help Ice King Simon Petrikov embark multiverse hopping adventure journey self discovery powerful new antagonist determined track erase existence lurks shadows 9.221  Adam Muto  ,,
Swallowed Star,"On the Earth, a catastrophe triggered the variation of all kinds of species. The superior survived and the inferior were extinct. Under this circumstance, Luo Feng inherited from the owner of Yunmo Star and became one of the three strongest people on the Earth. He lost his flesh during the fight against giant swallowed monster but then he took the flesh of the monster. In the flesh, he developed a human body. Later, he stepped out of the Earth and headed to the universe.",101172,https://image.tmdb.org/t/p/w500/xSEMinHYeHdxOj7IImk80W06kDk.jpg,9.214,14,False,[],[],['Wo Chi Xihongshi'],[],2020,Animation Sci-Fi & Fantasy Action & Adventure,"['Earth', 'catastrophe', 'triggered', 'variation', 'kinds', 'species', 'superior', 'survived', 'inferior', 'extinct', 'circumstance', 'Luo', 'Feng', 'inherited', 'owner', 'Yunmo', 'Star', 'strongest', 'people', 'Earth', 'lost', 'flesh', 'fight', 'giant', 'swallowed', 'monster', 'took', 'flesh', 'monster', 'flesh', 'developed', 'human', 'body', 'Later', 'stepped', 'Earth', 'headed', 'universe']",Animation Sci-Fi & Fantasy Action & Adventure  Earth catastrophe triggered variation kinds species superior survived inferior extinct circumstance Luo Feng inherited owner Yunmo Star strongest people Earth lost flesh fight giant swallowed monster took flesh monster flesh developed human body Later stepped Earth headed universe 9.214  Wo Chi Xihongshi  ,,
Touch,"Twins Kazuya and Tatsuya, and their neighbor Minami have played together since they were children and built an unbreakable bond. But with puberty, the twins realized something: Minami is a girl, and three is a crowd.

As the trio tries to preserve their relationship, Kazuya's pledge to make Minami's dream come true by taking her to Koshien with his baseball pitching skills makes the slackerish Tatsuya wonder about himself, and his own goals. But Minami has another dream she wants fulfilled, and as the twins continue to push themselves, with Minami in the middle, a life-changing tragedy leads one twin down a path he once never would've considered...",22104,https://image.tmdb.org/t/p/w500/vxtmMvfTOYRL4fQn9B8Pla6oH2N.jpg,9.2,12,False,[],[],['Mitsuru Adachi'],[],1985,Animation Comedy,"['Twins', 'Kazuya', 'Tatsuya', 'neighbor', 'Minami', 'played', 'children', 'built', 'unbreakable', 'bond', 'puberty', 'twins', 'realized', 'Minami', 'girl', 'crowd', 'trio', 'tries', 'preserve', 'relationship', 'Kazuya', 'pledge', 'Minami', 'dream', 'come', 'true', 'taking', 'Koshien', 'baseball', 'pitching', 'skills', 'makes', 'slackerish', 'Tatsuya', 'wonder', 'goals', 'Minami', 'dream', 'wants', 'fulfilled', 'twins', 'continue', 'push', 'Minami', 'middle', 'life', 'changing', 'tragedy', 'leads', 'twin', 'path', 'considered']",Animation Comedy  Twins Kazuya Tatsuya neighbor Minami played children built unbreakable bond puberty twins realized Minami girl crowd trio tries preserve relationship Kazuya pledge Minami dream come true taking Koshien baseball pitching skills makes slackerish Tatsuya wonder goals Minami dream wants fulfilled twins continue push Minami middle life changing tragedy leads twin path considered 9.2  Mitsuru Adachi  ,,
"Roswell Conspiracies: Aliens, Myths and Legends","A group of allied intelligence agents discover that extraterrestrial beings arrived on Earth centuries ago and have been thriving through the exploitation of humans. Believed to be the origins of many of the creatures humans know from myth, folklore and legends, including vampires and werewolves, the group discovers that these aliens have now formed a sinister cadre bent on taking over the world for themselves. In response, the agents form a top-secret multinational agency known as The Global Alliance, charged with protecting the world from the alien threat and keeping it a secret from the public at any cost.",4390,https://image.tmdb.org/t/p/w500/4PdFAwbiG7oUFzs2TEJSjahrvXk.jpg,9.2,4,False,[],[],['Kaaren Lee Brown'],[],1999,Animation Sci-Fi & Fantasy Action & Adventure Mystery,"['group', 'allied', 'intelligence', 'agents', 'discover', 'extraterrestrial', 'beings', 'arrived', 'Earth', 'centuries', 'ago', 'thriving', 'exploitation', 'humans', 'Believed', 'origins', 'creatures', 'humans', 'know', 'myth', 'folklore', 'legends', 'including', 'vampires', 'werewolves', 'group', 'discovers', 'aliens', 'formed', 'sinister', 'cadre', 'bent', 'taking', 'world', 'response', 'agents', 'form', 'secret', 'multinational', 'agency', 'known', 'Global', 'Alliance', 'charged', 'protecting', 'world', 'alien', 'threat', 'keeping', 'secret', 'public', 'cost']",Animation Sci-Fi & Fantasy Action & Adventure Mystery  group allied intelligence agents discover extraterrestrial beings arrived Earth centuries ago thriving exploitation humans Believed origins creatures humans know myth folklore legends including vampires werewolves group discovers aliens formed sinister cadre bent taking world response agents form secret multinational agency known Global Alliance charged protecting world alien threat keeping secret public cost 9.2  Kaaren Lee Brown  ,,
Bakumatsu,"Kyoto, Japan. The heroine meets a man who gives her a pocket watch somehow leading to a Torii in a shrine, and suddenly it warps her into the Bakumatsu period. In the world of where there is such a difference in importance of value, she tries to find a way to go back. When she meets a man who has crossed time and says, ""I will live for you,"" a love story between the two blossoms.",82846,https://image.tmdb.org/t/p/w500/tOEc28kvIfo19mEnvLpLnzI1urk.jpg,9.2,5,False,[],[],[],[],2018,Animation Action & Adventure,"['Kyoto', 'Japan', 'heroine', 'meets', 'man', 'gives', 'pocket', 'watch', 'leading', 'Torii', 'shrine', 'suddenly', 'warps', 'Bakumatsu', 'period', 'world', 'difference', 'importance', 'value', 'tries', 'find', 'way', 'meets', 'man', 'crossed', 'time', 'says', 'live', 'love', 'story', 'blossoms']",Animation Action & Adventure  Kyoto Japan heroine meets man gives pocket watch leading Torii shrine suddenly warps Bakumatsu period world difference importance value tries find way meets man crossed time says live love story blossoms 9.2    ,,
HeartCatch PreCure!,"Hanasaki Tsubomi is a girl in the second grade of middle school who likes flowers and plants. One day she experiences a weird dream. In that dream a large blooming tree appears. Suddenly it is losing all of its flowers and a fairy appears. A few days later after Tsubomi has transferred to Meidou Gakuen, suddenly the fairy from the dream appears before her and pleads to Tsubomi to become the legendary warrior Precure and protect the Tree of Hearts. However, Tsubomi declines as she doesn't think that she would be able to do that. However, a mysterious enemy suddenly strikes and steals the heartflower of Kurumi Erika, Tsubomi's new classmate. Now she doesn't have a choice. To retrieve Erika's heartflower she has to transform into Precure and fight. Working up the courage Tsubomi turns into Cure Blossom and a new chapter of the Legendary Warrior Precure begins!",42981,https://image.tmdb.org/t/p/w500/ifzvO12NxM3pAXD0lXzm3NYm29x.jpg,9.143,7,False,[],[],[],[],2010,Animation Action & Adventure Comedy Sci-Fi & Fantasy,"['Hanasaki', 'Tsubomi', 'girl', 'second', 'grade', 'middle', 'school', 'likes', 'flowers', 'plants', 'day', 'experiences', 'weird', 'dream', 'dream', 'large', 'blooming', 'tree', 'appears', 'Suddenly', 'losing', 'flowers', 'fairy', 'appears', 'days', 'later', 'Tsubomi', 'transferred', 'Meidou', 'Gakuen', 'suddenly', 'fairy', 'dream', 'appears', 'pleads', 'Tsubomi', 'legendary', 'warrior', 'Precure', 'protect', 'Tree', 'Hearts', 'Tsubomi', 'declines', 'think', 'able', 'mysterious', 'enemy', 'suddenly', 'strikes', 'steals', 'heartflower', 'Kurumi', 'Erika', 'Tsubomi', 'new', 'classmate', 'choice', 'retrieve', 'Erika', 'heartflower', 'transform', 'Precure', 'fight', 'Working', 'courage', 'Tsubomi', 'turns', 'Cure', 'Blossom', 'new', 'chapter', 'Legendary', 'Warrior', 'Precure', 'begins']",Animation Action & Adventure Comedy Sci-Fi & Fantasy  Hanasaki Tsubomi girl second grade middle school likes flowers plants day experiences weird dream dream large blooming tree appears Suddenly losing flowers fairy appears days later Tsubomi transferred Meidou Gakuen suddenly fairy dream appears pleads Tsubomi legendary warrior Precure protect Tree Hearts Tsubomi declines think able mysterious enemy suddenly strikes steals heartflower Kurumi Erika Tsubomi new classmate choice retrieve Erika heartflower transform Precure fight Working courage Tsubomi turns Cure Blossom new chapter Legendary Warrior Precure begins 9.143    ,,
Madö King Granzört,Madö King Granzört is a Japanese young children's animated television series that aired from 1989-1990. It was produced by Bandai Visual and animated by Sunrise animation studio. It also spawned 3 special direct-to-video episodes and two movies.,34766,https://image.tmdb.org/t/p/w500/woyr0HkC07uBLhdPdbFmV1BsOcB.jpg,9.1,8,False,[],[],['Oji Hiroi'],[],1989,Animation Comedy Action & Adventure,"['Madö', 'King', 'Granzört', 'Japanese', 'young', 'children', 'animated', 'television', 'series', 'aired', 'produced', 'Bandai', 'Visual', 'animated', 'Sunrise', 'animation', 'studio', 'spawned', 'special', 'direct', 'video', 'episodes', 'movies']",Animation Comedy Action & Adventure  Madö King Granzört Japanese young children animated television series aired produced Bandai Visual animated Sunrise animation studio spawned special direct video episodes movies 9.1  Oji Hiroi  ,,
Hongmao and Lantu: Martial Arts Series,"An animation series produced by Hongmeng Cartoon Communication Co., Ltd. There are two branches: martial arts series and preschool education series. And the martial arts series is China's first animation series on the theme of traditional Chinese martial arts.",103270,https://image.tmdb.org/t/p/w500/czRpQI9KSIQ385oyQftsLsw9iJE.jpg,9.1,10,False,[],[],[],[],2006,Animation Kids Action & Adventure Sci-Fi & Fantasy,"['animation', 'series', 'produced', 'Hongmeng', 'Cartoon', 'Communication', 'branches', 'martial', 'arts', 'series', 'preschool', 'education', 'series', 'martial', 'arts', 'series', 'China', 'animation', 'series', 'theme', 'traditional', 'Chinese', 'martial', 'arts']",Animation Kids Action & Adventure Sci-Fi & Fantasy  animation series produced Hongmeng Cartoon Communication branches martial arts series preschool education series martial arts series China animation series theme traditional Chinese martial arts 9.1    ,,
Chibi Maruko-chan,"Momoko Sakura is an elementary school student who likes popular  idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan""  due to her young age and small size. She lives together with her  parents, her grandparents and her elder sister in a little town. In  school, she has many friends with whom she studies and plays together  everyday, including her close pal, Tama-chan; the student committee  members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master'  Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun.",57775,https://image.tmdb.org/t/p/w500/zKFr5sAMBGwu9Scv5e6v5c7oU1I.jpg,9.0,11,False,[],[],[],[],1990,Animation Comedy,"['Momoko', 'Sakura', 'elementary', 'school', 'student', 'likes', 'popular', 'idol', 'Momoe', 'Yamaguchi', 'mangas', 'called', 'Chibi', 'Maruko', 'chan', 'young', 'age', 'small', 'size', 'lives', 'parents', 'grandparents', 'elder', 'sister', 'little', 'town', 'school', 'friends', 'studies', 'plays', 'everyday', 'including', 'close', 'pal', 'Tama', 'chan', 'student', 'committee', 'members', 'Maruo', 'kun', 'Migiwa', 'san', 'B', 'class', 'trio', 'little', 'master', 'Hanawa', 'kun', 'Hamaji', 'Bu', 'Taro', 'Sekiguchi', 'kun']",Animation Comedy  Momoko Sakura elementary school student likes popular idol Momoe Yamaguchi mangas called Chibi Maruko chan young age small size lives parents grandparents elder sister little town school friends studies plays everyday including close pal Tama chan student committee members Maruo kun Migiwa san B class trio little master Hanawa kun Hamaji Bu Taro Sekiguchi kun 9.0    ,,
Future GPX Cyber Formula,"Future GPX Cyber Formula is a 37-episode anime television series by Sunrise. It originally aired in Japan between March 15, 1991 and December 20, 1991.

Directed by Mitsuo Fukuda, Cyber Formula is a show about Formula racing in the future, when race cars are equipped with computer support systems called 'Cyber Systems'.",9320,https://image.tmdb.org/t/p/w500/qHStgTYqFw5upR7uIb1iHVEQpvt.jpg,9.0,8,False,[],[],[],[],1991,Animation,"['Future', 'GPX', 'Cyber', 'Formula', 'episode', 'anime', 'television', 'series', 'Sunrise', 'originally', 'aired', 'Japan', 'March', 'December', 'Directed', 'Mitsuo', 'Fukuda', 'Cyber', 'Formula', 'Formula', 'racing', 'future', 'race', 'cars', 'equipped', 'computer', 'support', 'systems', 'called', 'Cyber', 'Systems']",Animation  Future GPX Cyber Formula episode anime television series Sunrise originally aired Japan March December Directed Mitsuo Fukuda Cyber Formula Formula racing future race cars equipped computer support systems called Cyber Systems 9.0    ,,
The Story of Perrine,"Perrine is a young girl who lives in Bosnia with her Indian mother and beloved father – that is, until her father passes away, leaving her mother with a single wish: travel to France to be with his father. The over 1,000 kilometer journey seems unfathomable, but Perrine and her mother have a plan: they will photograph people in the towns along the way to support themselves. With their hardy donkey Palikare and faithful dog Baron, the two set forth for Paris; along the way they encounter kind souls, barren villages, and a number of hardships; will Perrine and her mother survive the long journey to France?",43951,https://image.tmdb.org/t/p/w500/8U8Gc2xPS9b4AMNFuuIVEjg8ls5.jpg,9.0,7,False,[],[],['Shigeo Koshi'],[],1978,Animation Drama Action & Adventure Drama,"['Perrine', 'young', 'girl', 'lives', 'Bosnia', 'Indian', 'mother', 'beloved', 'father', 'father', 'passes', 'away', 'leaving', 'mother', 'single', 'wish', 'travel', 'France', 'father', 'kilometer', 'journey', 'unfathomable', 'Perrine', 'mother', 'plan', 'photograph', 'people', 'towns', 'way', 'support', 'hardy', 'donkey', 'Palikare', 'faithful', 'dog', 'Baron', 'set', 'forth', 'Paris', 'way', 'encounter', 'kind', 'souls', 'barren', 'villages', 'number', 'hardships', 'Perrine', 'mother', 'survive', 'long', 'journey', 'France']",Animation Drama Action & Adventure Drama  Perrine young girl lives Bosnia Indian mother beloved father father passes away leaving mother single wish travel France father kilometer journey unfathomable Perrine mother plan photograph people towns way support hardy donkey Palikare faithful dog Baron set forth Paris way encounter kind souls barren villages number hardships Perrine mother survive long journey France 9.0  Shigeo Koshi  ,,
The Adventures of Peter Pan,The anime starts with Wendy having a dream about Peter Pan rescuing her and having a sword fight with Captain Hook. Wendy and her two brothers later on the episode go to Never Never land and Wendy becomes the 'mother' of the Lost boys. Throughout the series a romance blooms between Peter and Wendy as they go on fights with pirates . The last half of the series go to a different direction then the original story line and also introduce a new character ( Princess Luna ) who becomes an important part of the last episodes.,14578,https://image.tmdb.org/t/p/w500/cPeTO5cvRdhgXCFCVo7wbn52qtn.jpg,9.0,6,False,[],[],[],[],1989,Comedy Sci-Fi & Fantasy Animation Action & Adventure,"['anime', 'starts', 'Wendy', 'having', 'dream', 'Peter', 'Pan', 'rescuing', 'having', 'sword', 'fight', 'Captain', 'Hook', 'Wendy', 'brothers', 'later', 'episode', 'land', 'Wendy', 'mother', 'Lost', 'boys', 'series', 'romance', 'blooms', 'Peter', 'Wendy', 'fights', 'pirates', 'half', 'series', 'different', 'direction', 'original', 'story', 'line', 'introduce', 'new', 'character', 'Princess', 'Luna', 'important', 'episodes']",Comedy Sci-Fi & Fantasy Animation Action & Adventure  anime starts Wendy having dream Peter Pan rescuing having sword fight Captain Hook Wendy brothers later episode land Wendy mother Lost boys series romance blooms Peter Wendy fights pirates half series different direction original story line introduce new character Princess Luna important episodes 9.0    ,,
